id,data,hora,temp_0_0,temp_0_1,temp_0_2,temp_0_3,temp_0_4,temp_0_5,temp_0_6,temp_0_7,temp_1_0,temp_1_1,temp_1_2,temp_1_3,temp_1_4,temp_1_5,temp_1_6,temp_1_7,temp_2_0,temp_2_1,temp_2_2,temp_2_3,temp_2_4,temp_2_5,temp_2_6,temp_2_7,temp_3_0,temp_3_1,temp_3_2,temp_3_3,temp_3_4,temp_3_5,temp_3_6,temp_3_7,temp_4_0,temp_4_1,temp_4_2,temp_4_3,temp_4_4,temp_4_5,temp_4_6,temp_4_7,temp_5_0,temp_5_1,temp_5_2,temp_5_3,temp_5_4,temp_5_5,temp_5_6,temp_5_7,temp_6_0,temp_6_1,temp_6_2,temp_6_3,temp_6_4,temp_6_5,temp_6_6,temp_6_7,temp_7_0,temp_7_1,temp_7_2,temp_7_3,temp_7_4,temp_7_5,temp_7_6,temp_7_7
1,2024-06-02,19:51:25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,26,25,26,26,26,25,26,26,25,25,25,25,25,25,26,26,25,25,26,25,25,26,26,25,25,26,28,26,26,26,25,26,25,26,26,25,25,25,26,26,25,25,26,26,25,26,25,26
